Code,Company,Company name,Category,Market,EPS,NTA,PE,DY,ROE,Market capital
5031,TIMECOM,TIME DOTCOM BERHAD,Telecommunications & Media,Main Market,51.15,4.880,27.06,2.10,10.48,8362.98
5084,IBRACO,IBRACO BERHAD,Property,Main Market,8.00,0.770,7.19,0.00,10.39,285.43
4863,TM,TELEKOM MALAYSIA BERHAD,Telecommunications & Media,Main Market,18.70,1.822,33.69,1.08,10.26,23774.32
7088,POHUAT,POH HUAT RESOURCES HOLDINGS BERHAD,Consumer Products & Services,Main Market,18.65,1.820,9.27,4.05,10.25,481.46
2755,FCW,FCW HOLDINGS BERHAD,Consumer Products & Services,Main Market,6.91,0.680,14.62,0.00,10.16,252.49
5258,BIMB,BIMB HOLDINGS BERHAD,Financial Services,Main Market,36.63,3.640,10.87,3.17,10.06,7377.53
0127,JHM,JHM CONSOLIDATION BERHAD,Technology,Main Market,3.78,0.380,65.07,0.81,9.95,1371.70
2283,ZELAN,ZELAN BERHAD,Construction,Main Market,0.60,0.060,15.10,0.00,9.93,76.04
5255,ICON,ICON OFFSHORE BERHAD,Energy,Main Market,1.32,0.133,8.35,0.00,9.93,293.08
5042,TSRCAP,TSR CAPITAL BERHAD,Construction,Main Market,9.78,0.990,2.71,0.00,9.88,46.23
5126,SOP,SARAWAK OIL PALMS BERHAD,Plantation,Main Market,40.65,4.130,10.28,1.20,9.84,2388.13
0220,OVH,OCEAN VANTAGE HOLDINGS BERHAD,Energy,Ace Market,1.57,0.120,22.96,0.00,9.80,147.96
9075,THETA,THETA EDGE BERHAD,Technology,Main Market,6.14,0.630,14.00,0.00,9.75,92.23
7052,PADINI,PADINI HOLDINGS BERHAD,Consumer Products & Services,Main Market,11.59,1.190,22.42,2.88,9.74,1710.56
0210,KHJB,KIM HIN JOO (MALAYSIA) BERHAD,Consumer Products & Services,Ace Market,1.91,0.202,12.56,6.25,9.48,91.20
7230,TOMEI,TOMEI CONSOLIDATED BERHAD,Consumer Products & Services,Main Market,16.00,1.690,5.28,0.00,9.47,117.12
7029,MASTER,MASTER-PACK GROUP BERHAD,Industrial Products & Services,Main Market,18.96,2.030,9.91,3.19,9.34,102.69
0168,BOILERM,BOILERMECH HOLDINGS BERHAD,Industrial Products & Services,Main Market,3.91,0.420,24.71,1.81,9.30,497.94
7198,DPS,DPS RESOURCES BERHAD,Property,Main Market,2.04,0.220,5.41,0.00,9.25,77.59
0036,KGROUP,KEY ALLIANCE GROUP BERHAD,Technology,Ace Market,1.18,0.128,3.39,0.00,9.24,94.17
7148,DPHARMA,DUOPHARMA BIOTECH BERHAD,Health Care,Main Market,7.71,0.840,46.55,1.67,9.18,2534.64
5135,SWKPLNT,SARAWAK PLANTATION BERHAD,Plantation,Main Market,19.07,2.090,10.91,4.81,9.13,582.40
0157,FOCUSP,FOCUS POINT HOLDINGS BERHAD,Consumer Products & Services,Ace Market,3.01,0.330,23.41,1.89,9.12,232.65
5160,HOMERIZ,HOMERITZ CORPORATION BERHAD,Consumer Products & Services,Main Market,5.54,0.610,11.47,2.36,9.08,261.54
4022,MAXIM,MAXIM GLOBAL BERHAD,Property,Main Market,5.18,0.574,5.41,0.00,9.02,350.88
5029,FAREAST,FAR EAST HOLDINGS BERHAD,Plantation,Main Market,17.57,1.950,15.36,0.93,9.01,1603.36
7803,RUBEREX,RUBBEREX CORPORATION (M) BERHAD,Industrial Products & Services,Main Market,9.09,1.010,17.94,0.20,9.00,1356.61
1082,HLFG,HONG LEONG FINANCIAL GROUP BERHAD,Financial Services,Main Market,170.31,19.010,10.04,2.22,8.96,19622.54
7161,KERJAYA,KERJAYA PROSPEK GROUP BERHAD,Construction,Main Market,7.97,0.890,12.67,3.45,8.96,1254.39
9997,PENSONI,PENSONIC HOLDINGS BERHAD,Consumer Products & Services,Main Market,8.56,0.960,8.82,1.66,8.92,97.90
0200,REVENUE,REVENUE GROUP BERHAD,Technology,Ace Market,1.69,0.190,94.30,0.00,8.87,627.75
0188,HLT,HLT GLOBAL BERHAD,Industrial Products & Services,Ace Market,1.24,0.140,93.87,0.00,8.83,715.47
7248,SLP,SLP RESOURCES BERHAD,Industrial Products & Services,Main Market,5.16,0.585,17.15,6.21,8.82,280.51
1155,MAYBANK,MALAYAN BANKING BERHAD,Financial Services,Main Market,64.77,7.409,12.14,8.14,8.74,89714.00
5200,UOADEV,UOA DEVELOPMENT BHD,Property,Main Market,22.07,2.530,7.39,8.59,8.72,3463.60
0193,KAB,KEJURUTERAAN ASASTERA BERHAD,Industrial Products & Services,Main Market,0.70,0.080,140.52,0.41,8.72,912.98
5006,STELLA,STELLA HOLDINGS BERHAD,Construction,Main Market,6.17,0.710,12.71,3.18,8.70,52.60
0216,SPRING,SPRING ART HOLDINGS BERHAD,Consumer Products & Services,Ace Market,1.47,0.170,26.83,0.00,8.66,164.20
5878,KPJ,KPJ HEALTHCARE BERHAD,Health Care,Main Market,3.81,0.440,25.08,2.09,8.65,4242.27
3301,HLIND,HONG LEONG INDUSTRIES BERHAD,Consumer Products & Services,Main Market,47.81,5.540,17.11,5.13,8.63,2682.25
0001,SCOMNET,SUPERCOMNET TECHNOLOGIES BERHAD,Health Care,Ace Market,2.92,0.340,71.29,0.72,8.59,1409.10
